rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,video,start_value,production_budget,domestic_gross,worldwide_gross,approx_income,approx_expense,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between,rating_outlier,,
1,12/18/2009,Avatar,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,avatar.jpg,http://www.imdb.com/title/tt0499549/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi531039513/imdb/embed?autoplay=false&width=480,0,425000000,760507625,2783918982,,,,7.9,7.5,0,0,0,0,0,0,0,0,,
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,starwarsepviitheforceawakens.jpg,http://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi2762323481/imdb/embed?autoplay=false&width=480,0,306000000,936662225,2058662225,,,,8.2,8.2,0,0,0,0,0,0,0,0,,rating_higher_imdb
3,05/24/2007,Pirates of the Caribbean: At World's End,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeanatworldsend.jpg,http://www.imdb.com/title/tt0449088/?ref_=nv_sr_4,https://www.youtube.com/embed/HKSZtp_OGHY?autoplay=true,0,300000000,309420425,963420425,,,,7.1,5.5,0,0,0,0,0,0,0,0,,rating_higher_rt
4,11/06/15,Spectre,biggest_budgets,Biggest budgets,"Action,Adventure,Thriller",Action,spectre.jpg,http://www.imdb.com/title/tt2379713/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi3362042649/imdb/embed?autoplay=false&width=480,0,300000000,200074175,879620923,,,,6.8,6.4,0,0,0,0,0,0,0,0,,rating_lower_imdb
5,07/02/13,The Lone Ranger,biggest_budgets,Biggest budgets,"Action,Adventure,Western",Action,theloneranger.jpg,http://www.imdb.com/title/tt1210819/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi460432921/imdb/embed?autoplay=false&width=480,0,275000000,89302115,260002115,,,,6.5,4.8,0,0,1,1,0,1,0,1,,rating_lower_rt
6,03/09/12,John Carter,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,johncarter.jpg,http://www.imdb.com/title/tt0401729/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi2340397337/imdb/embed?autoplay=false&width=480,0,275000000,73058679,282778100,,,,6.6,5.7,0,0,0,0,0,0,0,0,,rating_higher
7,07/20/2012,The Dark Knight Rises,biggest_budgets,Biggest budgets,"Action,Thriller",Action,thedarkknightrises.jpg,http://www.imdb.com/title/tt1345836/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi2376312089/imdb/embed?autoplay=false&width=480,0,275000000,448139099,1084439099,,,,8.4,8,0,0,0,0,0,0,0,0,,rating_lower
8,11/24/2010,Tangled,biggest_budgets,Biggest budgets,"Animation,Adventure,Comedy",Animation,tangled.jpg,http://www.imdb.com/title/tt0398286/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi385091865/imdb/embed?autoplay=false&width=480,0,260000000,200821936,586581936,,,,7.8,7.5,0,0,0,0,0,0,0,0,,rating_outlier_between
9,05/04/07,Spider-Man 3,biggest_budgets,Biggest budgets,"Action,Adventure,Romance",Action,spiderman3.jpg,http://www.imdb.com/title/tt0413300/?ref_=nv_sr_3,https://www.youtube.com/embed/h87zZ_0AneU?autoplay=true,0,258000000,336530303,890875303,,,,6.2,6.2,0,0,1,0,0,1,0,1,,rating_outlier
10,07/15/2009,Harry Potter and the Half-Blood Prince,biggest_budgets,Biggest budgets,"Adventure,Family,Fantasy",Adventure,harrypotterandthehalfbloodprince.jpg,http://www.imdb.com/title/tt0417741/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi1061421849/imdb/embed?autoplay=false&width=480,0,250000000,301959197,935083686,,,,7.5,7.2,0,0,0,0,0,0,0,0,,
11,12/14/2012,The Hobbit: An Unexpected Journey,biggest_budgets,Biggest budgets,"Adventure,Fantasy",Adventure,thehobbitanunexpectedjourney.jpg,http://www.imdb.com/title/tt0903624/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi650683417/imdb/embed?autoplay=false&width=480,0,250000000,303003568,1017003568,,,,7.9,6.5,0,0,0,0,0,0,0,0,,
12,05/20/2011,Pirates of the Caribbean: On Stranger Tides,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeanonstrangertides.jpg,http://www.imdb.com/title/tt1298650/?ref_=nv_sr_3,http://www.imdb.com/video/imdb/vi3747192089/imdb/embed?autoplay=false&width=480,0,250000000,241063875,1045663875,,,,6.7,5,0,0,0,1,0,1,0,1,,
13,12/13/2013,The Hobbit: The Desolation of Smaug,biggest_budgets,Biggest budgets,"Adventure,Fantasy",Adventure,thehobbitthedesolationofsmaug.jpg,http://www.imdb.com/title/tt1170358/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi2165155865/imdb/embed?autoplay=false&width=480,0,250000000,258366855,960366855,,,,7.9,6.8,0,0,0,0,0,0,0,0,,
14,12/17/2014,The Hobbit: The Battle of the Five Armies,biggest_budgets,Biggest budgets,"Adventure,Fantasy",Adventure,thehobbitthebattleofthefivearmies.jpg,http://www.imdb.com/title/tt2310332/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi1092005657/imdb/embed?autoplay=false&width=480,0,250000000,255119788,955119788,,,,7.5,6.2,0,0,0,0,0,0,0,0,,
15,05/01/15,Avengers: Age of Ultron,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,avengersageofultron.jpg,http://www.imdb.com/title/tt2395427/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi2821566745/imdb/embed?autoplay=false&width=480,0,250000000,459005868,1404705868,,,,7.5,6.7,0,0,0,0,0,0,0,0,,
16,03/25/2016,Batman v Superman: Dawn of Justice,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,batmanvsupermandawnofjustice.jpg,http://www.imdb.com/title/tt2975590/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi1946858521/imdb/embed?autoplay=false&width=480,0,250000000,330360194,868160194,,,,6.9,4.9,0,0,0,1,0,1,0,1,,
17,05/06/16,Captain America: Civil War,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,captainamericacivilwar.jpg,http://www.imdb.com/title/tt3498820/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi174044441/imdb/embed?autoplay=false&width=480,0,250000000,407849958,1151449958,,,,8.1,7.6,0,0,0,0,0,0,0,0,,
18,06/28/2006,Superman Returns,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,supermanreturns.jpg,http://www.imdb.com/title/tt0348150/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi641508889/imdb/embed?autoplay=false&width=480,0,232000000,200120000,374085065,,,,6.1,7,0,0,1,0,0,1,0,1,,
19,11/14/2008,Quantum of Solace,biggest_budgets,Biggest budgets,"Action,Adventure",Action,quantumofsolace.jpg,http://www.imdb.com/title/tt0830515/?ref_=nv_sr_1,http://www.imdb.com/video/imdb/vi1024524313/imdb/embed?autoplay=false&width=480,0,230000000,169368427,591692078,,,,6.7,6.1,0,0,0,0,0,0,0,0,,
